127.0.0.1 - - [05/Sep/2019:14:26:20 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [05/Sep/2019:14:26:23 -0300] "GET /JavaWeb/Animais.jsp HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [05/Sep/2019:14:30:15 -0300] "GET /JavaWeb/Animais.jsp HTTP/1.1" 500 2867
0:0:0:0:0:0:0:1 - - [05/Sep/2019:14:32:52 -0300] "GET /JavaWeb/Animais.jsp HTTP/1.1" 500 2867
0:0:0:0:0:0:0:1 - - [05/Sep/2019:14:32:54 -0300] "GET /JavaWeb/Animais.jsp HTTP/1.1" 500 2867
0:0:0:0:0:0:0:1 - - [05/Sep/2019:14:33:23 -0300] "GET /JavaWeb/Animais.jsp HTTP/1.1" 500 2867
0:0:0:0:0:0:0:1 - - [05/Sep/2019:14:34:04 -0300] "GET /JavaWeb/Animais.jsp HTTP/1.1" 500 2880
0:0:0:0:0:0:0:1 - - [05/Sep/2019:14:45:57 -0300] "GET /JavaWeb/Animais.jsp HTTP/1.1" 500 2935
0:0:0:0:0:0:0:1 - - [05/Sep/2019:14:46:44 -0300] "GET /JavaWeb/FormAnimais.html HTTP/1.1" 200 679
0:0:0:0:0:0:0:1 - - [05/Sep/2019:14:47:00 -0300] "GET /JavaWeb/Animais.jsp?nome=gfcvhb&tamanho=1.56&tipo=1&unha=5&vida=&Enviar=Enviar+Consulta HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [05/Sep/2019:14:47:54 -0300] "GET /JavaWeb/Animais.jsp?nome=gfcvhb&tamanho=1.56&tipo=1&unha=5&vida=&Enviar=Enviar+Consulta HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [05/Sep/2019:14:51:04 -0300] "GET /JavaWeb/Animais.jsp HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [05/Sep/2019:14:59:12 -0300] "GET /JavaWeb/Animais.jsp HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [05/Sep/2019:14:59:32 -0300] "GET /JavaWeb/JavaAnimais?nome=fghjnk&tamanho=1.65&tipo=1&unha=21&vida=&Enviar=Enviar+Consulta HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [05/Sep/2019:14:59:59 -0300] "GET /JavaWeb/Animais.jsp HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [05/Sep/2019:15:00:27 -0300] "GET /JavaWeb/Animais.jsp HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [05/Sep/2019:15:00:47 -0300] "GET /JavaWeb/Animais.jsp?nome=fdghj&tamanho=0.5&tipo=1&unha=5&vida=&Enviar=Enviar+Consulta HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [05/Sep/2019:15:02:13 -0300] "GET /JavaWeb/Animais.jsp?nome=fdghj&tamanho=0.5&tipo=1&unha=5&vida=&Enviar=Enviar+Consulta HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [05/Sep/2019:15:02:36 -0300] "GET /JavaWeb/Animais.jsp HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [05/Sep/2019:15:02:46 -0300] "GET /JavaWeb/Animais.jsp?nome=dftghjj&tamanho=1.2&tipo=1&unha=5&vida=&Enviar=Enviar+Consulta HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [05/Sep/2019:15:02:56 -0300] "GET /JavaWeb/Animais.jsp?nome=fdghj&tamanho=0.5&tipo=1&unha=5&vida=&Enviar=Enviar+Consulta HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [05/Sep/2019:15:03:05 -0300] "GET /JavaWeb/Animais.jsp?nome=fdghj&tamanho=0.5&tipo=2&unha=5&vida=10&Enviar=Enviar+Consulta HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [05/Sep/2019:15:12:34 -0300] "GET /JavaWeb/Animais.jsp?nome=fdghj&tamanho=0.5&tipo=2&unha=5&vida=10&Enviar=Enviar+Consulta HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [05/Sep/2019:16:07:31 -0300] "GET /JavaWeb/Animais.jsp HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [05/Sep/2019:16:08:01 -0300] "GET /JavaWeb/Animais.jsp?nome=wsert&tamanho=1.56&tipo=1&unha=21&vida=&Enviar=Enviar+Consulta HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [05/Sep/2019:16:09:29 -0300] "GET /JavaWeb/Animais.jsp HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [05/Sep/2019:16:09:37 -0300] "GET /JavaWeb/Animais.jsp?nome=sdfgf&tamanho=1&tipo=1&unha=5&vida=&Enviar=Enviar+Consulta HTTP/1.1" 200 234
